Designator,Mid X,Mid Y,Layer,Rotation
D3,150.25,-71.8,top,180
D4,152.25,-71.8,top,180
D5,169.3,-81.47,top,-90
D6,169.3,-83.13,top,90
D7,142,-108.8,top,-90
D8,154.25,-71.8,top,180
D9,156.25,-71.8,top,180
D10,162.75,-75.8,top,180
D11,160.5,-71.8,top,0
D12,158.5,-71.8,top,0
D13,149.5,-109.25,top,-90
D15,171.5,-109.05,top,0
D17,159.25,-108.8,top,-90
D18,162.05,-108.8,top,-90
D20,174.25,-109.05,top,180
D22,135.75,-108.8,top,-90
D24,170.5,-86.55,top,90
FB1,135.75,-94.3,top,180
FB2,176.25,-86.05,top,180
H4,177.5,-71.5,top,0
H4,177.5,-108.75,top,0
H4,132,-108.75,top,0
U1,161.25,-92.8,top,90
U2,165.25,-97.55,top,-90
U3,147.25,-90.05,top,0
U4,135.75,-79.8,top,0
U6,160,-104.3,top,0
U8,173.75,-92.8,top,180
Y1,132.5,-87.3,top,-90
